,open_time,open,high,low,close
0,1726015200000,0.2793,0.2798,0.2793,0.2794
1,1726015500000,0.2793,0.2802,0.2793,0.2799
2,1726015800000,0.2798,0.2799,0.2792,0.2794
3,1726016100000,0.2793,0.28,0.2792,0.2797
4,1726016400000,0.2796,0.2796,0.2783,0.2785
5,1726016700000,0.2784,0.2789,0.2782,0.2785
6,1726017000000,0.2785,0.2795,0.2785,0.2793
7,1726017300000,0.2793,0.2793,0.2781,0.2788
8,1726017600000,0.2787,0.2788,0.2766,0.2768
9,1726017900000,0.2767,0.2767,0.2761,0.2764
10,1726018200000,0.2763,0.2765,0.2726,0.2734
11,1726018500000,0.2733,0.2755,0.273,0.2753
12,1726018800000,0.2755,0.2763,0.2753,0.2757
13,1726019100000,0.2757,0.2768,0.2751,0.2753
14,1726019400000,0.2754,0.2756,0.2748,0.2751
15,1726019700000,0.275,0.2753,0.2733,0.2735
16,1726020000000,0.2735,0.2753,0.2732,0.2752
17,1726020300000,0.2753,0.2755,0.275,0.2751
18,1726020600000,0.2752,0.2754,0.2737,0.2751
19,1726020900000,0.2751,0.2756,0.2747,0.2751
20,1726021200000,0.2751,0.2753,0.2747,0.2748
21,1726021500000,0.2747,0.2753,0.2746,0.275
22,1726021800000,0.2751,0.2754,0.2736,0.274
23,1726022100000,0.2741,0.2749,0.2739,0.2749
24,1726022400000,0.2748,0.2756,0.2745,0.2751
25,1726022700000,0.2752,0.2754,0.2746,0.2746
26,1726023000000,0.2747,0.2749,0.2746,0.2747
27,1726023300000,0.2747,0.2749,0.2744,0.2744
28,1726023600000,0.2743,0.2748,0.2737,0.2738
29,1726023900000,0.2737,0.2738,0.2728,0.2728
30,1726024200000,0.2728,0.274,0.2728,0.2738
31,1726024500000,0.2738,0.2738,0.2731,0.2733
32,1726024800000,0.2733,0.2733,0.2727,0.2728
33,1726025100000,0.2727,0.2737,0.2727,0.2736
34,1726025400000,0.2736,0.2739,0.2732,0.2738
35,1726025700000,0.2738,0.2742,0.2735,0.2738
36,1726026000000,0.2737,0.2737,0.273,0.2731
37,1726026300000,0.2731,0.2739,0.2731,0.2734
38,1726026600000,0.2733,0.2733,0.2729,0.2733
39,1726026900000,0.2733,0.274,0.2729,0.2737
40,1726027200000,0.2736,0.2736,0.2729,0.2729
41,1726027500000,0.2729,0.273,0.2715,0.2721
42,1726027800000,0.272,0.2729,0.272,0.2723
43,1726028100000,0.2722,0.2722,0.2702,0.2713
44,1726028400000,0.2713,0.2722,0.2709,0.2722
45,1726028700000,0.2721,0.2724,0.2716,0.2721
46,1726029000000,0.2721,0.2721,0.2707,0.2712
47,1726029300000,0.2712,0.2716,0.2706,0.2711
48,1726029600000,0.2711,0.2724,0.2707,0.2708
49,1726029900000,0.2708,0.2708,0.2691,0.2692
50,1726030200000,0.2692,0.271,0.2691,0.2709
51,1726030500000,0.2709,0.2712,0.2708,0.271
52,1726030800000,0.271,0.2711,0.2705,0.2706
53,1726031100000,0.2707,0.2709,0.269,0.2692
54,1726031400000,0.2692,0.2694,0.2681,0.2682
55,1726031700000,0.2682,0.2695,0.2681,0.2691
56,1726032000000,0.2692,0.2694,0.2688,0.2688
57,1726032300000,0.2688,0.2689,0.2674,0.2678
58,1726032600000,0.2679,0.2686,0.2677,0.2685
59,1726032900000,0.2687,0.2691,0.2682,0.2685
60,1726033200000,0.2685,0.2689,0.2684,0.2689
61,1726033500000,0.2688,0.269,0.2684,0.2689
62,1726033800000,0.269,0.2692,0.2687,0.269
63,1726034100000,0.2689,0.2689,0.2684,0.2686
64,1726034400000,0.2686,0.2691,0.2682,0.2691
65,1726034700000,0.2691,0.2697,0.269,0.2697
66,1726035000000,0.2698,0.2701,0.2697,0.27
67,1726035300000,0.2701,0.2706,0.27,0.27
68,1726035600000,0.27,0.2715,0.2696,0.271
69,1726035900000,0.271,0.2712,0.2707,0.2709
70,1726036200000,0.2708,0.2722,0.2699,0.272
71,1726036500000,0.2719,0.2719,0.2711,0.2714
72,1726036800000,0.2713,0.2721,0.2713,0.272
73,1726037100000,0.272,0.2721,0.2713,0.2714
74,1726037400000,0.2714,0.2716,0.2712,0.2716
75,1726037700000,0.2715,0.2715,0.2697,0.27
76,1726038000000,0.27,0.2715,0.27,0.2711
77,1726038300000,0.2711,0.2716,0.2711,0.2716
78,1726038600000,0.2715,0.2718,0.2712,0.2714
79,1726038900000,0.2714,0.2722,0.2714,0.2717
80,1726039200000,0.2717,0.2722,0.2717,0.2721
81,1726039500000,0.2721,0.2726,0.272,0.2726
82,1726039800000,0.2726,0.2729,0.2721,0.2722
83,1726040100000,0.2721,0.2721,0.2719,0.2721
84,1726040400000,0.272,0.2721,0.2719,0.272
85,1726040700000,0.272,0.2723,0.272,0.272
86,1726041000000,0.272,0.2725,0.2719,0.2725
87,1726041300000,0.2724,0.2727,0.2722,0.2726
88,1726041600000,0.2726,0.2726,0.2717,0.2719
89,1726041900000,0.2719,0.2719,0.2714,0.2716
90,1726042200000,0.2716,0.2717,0.2711,0.2711
91,1726042500000,0.2711,0.2716,0.2709,0.2713
92,1726042800000,0.2713,0.2713,0.2708,0.271
93,1726043100000,0.271,0.2713,0.271,0.2712
